电影名称,电影别名,电影导演,上映时间,上映国家,分类,评分,评价人数
风之谷, / 风谷少女  /  Kaze no tani no Naushika,宫崎骏 Hayao Miyazaki,1984,日本,动画 奇幻 冒险,8.8,250157
幸福终点站, / 机场客运站(港)  /  航站情缘(台),史蒂文·斯皮尔伯格 Steven Spielberg,2004,美国,喜剧 剧情 爱情,8.7,317509
萤火之森, / 萤火之社  /  Hotarubi no mori e,大森贵弘 Takahiro Omori,2011,日本,剧情 爱情 动画 奇幻,8.8,271997
唐伯虎点秋香, / Flirting Scholar,李力持 Lik-Chi Lee,1993,中国香港,喜剧 爱情 古装,8.6,565665
超能陆战队, / 大英雄联盟(港)  /  大英雄天团(台),唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams,2014,美国,喜剧 动作 科幻 动画 冒险,8.6,582648
借东西的小人阿莉埃蒂, / 借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),米林宏昌 Hiromasa Yonebayashi,2010,日本,动画 奇幻 冒险,8.8,316393
上帝之城, / 无主之城 (港)  /  无法无天 (台),费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...,2002,巴西 法国,犯罪 剧情,8.9,203868
神偷奶爸, / 卑鄙的我  /  坏蛋奖门人(港),皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud,2010,美国 法国,喜剧 动画 冒险,8.6,588762
无人知晓, / 谁知赤子心(港)  /  无人知晓的夏日清晨(台),是枝裕和 Hirokazu Koreeda,2004,日本,剧情,9.1,139864
怪兽电力公司, / 怪兽公司(港)  /  怪物公司,彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman,2001,美国,儿童 喜剧 动画 奇幻 冒险,8.7,373743
玩具总动员3, / 反斗奇兵3(港)  /  玩具的故事3,李·昂克里奇 Lee Unkrich,2010,美国,喜剧 动画 奇幻 冒险,8.8,287243
电锯惊魂, / 夺魂锯(台)  /  恐惧斗室(港),詹姆斯·温 James Wan,2004,美国,悬疑 惊悚 恐怖,8.7,296378
血战钢锯岭, / 钢锯岭  /  钢铁英雄(台),梅尔·吉布森 Mel Gibson,2016,美国 澳大利亚,剧情 传记 历史 战争,8.7,485425
岁月神偷, / 1969太空漫游  /  Echoes Of The Rainbow,罗启锐 Alex Law,2010,中国香港 中国大陆,剧情 家庭,8.7,401278
谍影重重3, / 叛谍追击3：最后通牒(港)  /  神鬼认证：最后通牒 (台),保罗·格林格拉斯 Paul Greengrass,2007,美国 德国,动作 悬疑 惊悚,8.8,260962
疯狂原始人, / 古鲁家族(港 / 台) ,科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders,2013,美国,喜剧 动画 冒险,8.7,531278
英雄本色, / A Better Tomorrow  /  Gangland Boss,吴宇森 John Woo,1986,中国香港,剧情 动作 犯罪,8.7,286517
喜宴, / The Wedding Banquet,李安 Ang Lee,1993,中国台湾 美国,剧情 喜剧 爱情 同性 家庭,8.9,199936
七武士, / 七侠四义(港)  /  The Seven Samurai,黑泽明 Akira Kurosawa,1954,日本,动作 冒险 剧情,9.2,111279
傲慢与偏见, / 傲慢与偏见2005  /  Pride And Prejudice,乔·怀特 Joe Wright,2005,法国 英国 美国,剧情 爱情,8.6,441227
时空恋旅人, / 时空旅恋人  /  回到最爱的一天(港),理查德·柯蒂斯 Richard Curtis,2013,英国,喜剧 爱情 奇幻,8.7,312131
萤火虫之墓, / 再见萤火虫(港)  /  萤火挽歌,高畑勋 Isao Takahata,1988,日本,动画 剧情 战争,8.7,278083
东邪西毒, / Ashes of Time,王家卫 Kar Wai Wong,1994,中国香港 中国台湾,剧情 动作 爱情 武侠 古装,8.6,371509
真爱至上, / 爱是您，爱是我(台)  /  真的恋爱了(港),理查德·柯蒂斯 Richard Curtis,2003,英国 美国 法国,喜剧 剧情 爱情,8.6,438170
贫民窟的百万富翁, / 贫民百万富翁(台)  /  一百万零一夜(港),丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan,2008,英国 美国,剧情 爱情,8.6,505619
完美的世界, / 强盗保镳,克林特·伊斯特伍德 Clint Eastwood,1993,美国,剧情 犯罪,9.1,129269
黑天鹅, / 夺命黑天鹅  /  霸王别鹅(豆友译名),达伦·阿罗诺夫斯基 Darren Aronofsky,2010,美国,剧情 惊悚,8.5,559441
记忆碎片, / 失忆  /  记忆拼图(台),克里斯托弗·诺兰 Christopher Nolan,2000,美国,犯罪 剧情 悬疑 惊悚,8.6,380630
心迷宫, / 殡棺  /  The Coffin in the Mountain,忻钰坤 Yukun Xin,2014,中国大陆,剧情 犯罪 悬疑,8.7,282041
纵横四海, / Once a Thief,吴宇森 John Woo,1991,中国香港,剧情 喜剧 动作 犯罪,8.8,233789
教父3, / 教父第三集  /  教父 III,弗朗西斯·福特·科波拉 Francis Ford Coppola,1990,美国,剧情 犯罪,8.8,197475
荒蛮故事, / 蛮荒故事  /  生命中最抓狂的小事(台),达米安·斯兹弗隆 Damián Szifron,2014,阿根廷 西班牙,剧情 喜剧 犯罪,8.8,230777
达拉斯买家俱乐部, / 续命枭雄(港)  /  药命俱乐部(台),让-马克·瓦雷 Jean-Marc Vallée,2013,美国,剧情 传记 同性,8.7,271079
三块广告牌, / 意外(台)  /  广告牌杀人事件(港),马丁·麦克唐纳 Martin McDonagh,2017,美国 英国,剧情 犯罪,8.7,507403
被解救的姜戈, / 被解放的姜戈  /  决杀令(台),昆汀·塔伦蒂诺 Quentin Tarantino,2012,美国,剧情 动作 西部 冒险,8.7,367276
雨人, / 手足情未了  /  手足情深,巴瑞·莱文森 Barry Levinson,1988,美国,剧情,8.7,272232
花样年华, / In the Mood for Love,王家卫 Kar Wai Wong,2000,中国香港,剧情 爱情,8.6,344466
我是山姆, / 不一样的爸爸(港)  /  他不笨，他是我爸爸(台),杰茜·尼尔森 Jessie Nelson,2001,美国,剧情 家庭,8.9,163555
你的名字。, / 你的名字  /  君之名,新海诚 Makoto Shinkai,2016,日本,剧情 爱情 动画,8.4,784216
卢旺达饭店, / 卢安达饭店(台),特瑞·乔治 Terry George,2004,英国 南非 意大利 美国,剧情 历史 战争,8.9,164926
哪吒闹海, / Prince Nezha's Triumph Against Dragon King  /  Nezha nao hai,严定宪 Dingxian Yan / 王树忱 Shuchen Wang,1979,中国大陆,冒险 动画 奇幻,9.0,135651
头脑特工队, / 玩转脑朋友(港)  /  脑筋急转弯(台),彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,2015,美国,喜剧 动画 冒险,8.7,348975
海边的曼彻斯特, / 情系海边之城(港),肯尼斯·罗纳根 Kenneth Lonergan,2016,美国,剧情 家庭,8.6,301908
你看起来好像很好吃, / 你看起来很好吃(台)  /  你看上去好像很好吃,藤森雅也 Masaya Fujimori,2010,日本,剧情 动画 儿童,8.8,206869
恋恋笔记本, / 深情日记  /  写我情真,尼克·卡索维茨 Nick Cassavetes,2004,美国,剧情 爱情,8.5,394047
无敌破坏王, / 破坏王拉尔夫  /  破坏王大冒险,瑞奇·莫尔 Rich Moore,2012,美国,喜剧 动画 奇幻 冒险,8.7,315240
冰川时代, / 冰河世纪  /  冰原历险记,卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,2002,美国,喜剧 动画 冒险,8.5,388231
二十二, / Twenty Two  /  22,郭柯 Ke Guo,2015,中国大陆,纪录片,8.7,174686
虎口脱险, / 横冲直撞出重围(港)  /  大進擊(台),杰拉尔·乌里 Gérard Oury,1966,法国 英国,喜剧 战争,8.9,143947
未麻的部屋, / 蓝色的恐惧  /  蓝色恐惧,今敏 Satoshi Kon,1997,日本,动画 奇幻 惊悚,8.9,152565
模仿游戏, / 解码游戏(港)  /  模拟游戏,莫滕·泰杜姆 Morten Tyldum,2014,英国 美国,剧情 传记 战争 同性,8.6,363824
爆裂鼓手, / 鼓动真我(港)  /  进击的鼓手(台),达米恩·查泽雷 Damien Chazelle,2014,美国,剧情 音乐,8.7,331367
一个叫欧维的男人决定去死, / 明天别再来敲门(台)  /  想死冇咁易(港),汉内斯·赫尔姆 Hannes Holm,2015,瑞典,剧情,8.8,202537
雨中曲, / 雨中情  /  万花嬉春,斯坦利·多南 Stanley Donen / 吉恩·凯利 Gene Kelly,1952,美国,喜剧 歌舞 爱情,9.0,127586
海洋, / Oceans  /  海洋,雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,2009,法国 瑞士 西班牙 美国 阿联酋,纪录片,9.1,117863
忠犬八公物语, / 八千公物语  /  阿八的故事,Seijirô Kôyama,1987,日本,剧情,9.1,100520
天书奇谭, / The Legend of Sealed Book  /  Secrets of the Heavenly Book,王树忱 Shuchen Wang / 钱运达 Yunda Qian,2019,中国大陆,动画 奇幻,9.2,97225
头号玩家, / 玩家一号  /  挑战者1号(港),史蒂文·斯皮尔伯格 Steven Spielberg,2018,美国,动作 科幻 冒险,8.7,849027
人工智能, / AI人工智慧,史蒂文·斯皮尔伯格 Steven Spielberg,2001,美国,冒险 剧情 科幻,8.6,264375
燃情岁月, / 秋日传奇  /  真爱一世情(台),爱德华·兹威克 Edward Zwick,1994,美国,剧情 爱情 战争 西部,8.8,188477
魔女宅急便, / 魔女琪琪(台)  /  小魔女限时专送,宫崎骏 Hayao Miyazaki,1989,日本,动画 奇幻 冒险,8.6,287314
房间, / 不存在的房间(台)  /  抖室(港),伦尼·阿伯拉罕森 Lenny Abrahamson,2015,爱尔兰 加拿大 英国 美国,剧情 家庭,8.8,235387
黑客帝国3：矩阵革命, / 骇客任务完结篇：最后战役  /  廿二世纪杀人网络3：惊变世纪,Andy Wachowski / Larry Wachowski,2003,美国 澳大利亚,动作 科幻,8.7,233313
穿越时空的少女, / 跳跃吧！时空少女(台)  /  Toki o kakeru shôjo,细田守 Mamoru Hosoda,2006,日本,剧情 爱情 科幻 动画,8.6,255897
海街日记, / 海街女孩日记(港)  /  Kamakura Diary,是枝裕和 Hirokazu Koreeda,2015,日本,剧情 家庭,8.7,221480
恐怖游轮, / 汪洋血迷宮(台)  /  轮回三角,克里斯托弗·史密斯 Christopher Smith,2009,英国 澳大利亚,剧情 悬疑 惊悚,8.4,470322
功夫, / 功夫3D  /  Kung Fu Hustle,周星驰 Stephen Chow,2004,中国大陆 中国香港,动作 喜剧 犯罪 奇幻,8.4,487507
魂断蓝桥, / 滑铁卢桥  /  断桥残梦,茂文·勒鲁瓦 Mervyn LeRoy,1940,美国,剧情 爱情 战争,8.8,168001
惊魂记, / 精神病患者  /  触目惊心,Alfred Hitchcock,1960,美国,悬疑 惊悚 恐怖,8.9,130496
罗生门, / Rashomon,黑泽明 Akira Kurosawa,1950,日本,犯罪 剧情 悬疑,8.8,179967
完美陌生人, / 完美谎情(港)  /  波动的信息分享,保罗·格诺维瑟 Paolo Genovese,2016,意大利,剧情 喜剧,8.5,341255
猜火车, / 迷幻列车(港)  /  定位的火车,丹尼·博伊尔 Danny Boyle,1996,英国,剧情 犯罪,8.5,310426
阿飞正传, / Days of Being Wild,王家卫 Kar Wai Wong,1990,中国香港,犯罪 剧情 爱情,8.5,302911
香水, / 香水：一个杀人犯的故事  /  香水：一个谋杀犯的故事,汤姆·提克威 Tom Tykwer,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻,8.5,369300
牯岭街少年杀人事件, / A Brighter Summer Day,杨德昌 Edward Yang,1991,中国台湾,剧情 犯罪,8.8,153354
可可西里, / Kekexili: Mountain Patrol,陆川 Chuan Lu,2004,中国大陆 中国香港,剧情 犯罪,8.7,174607
谍影重重2, / 叛谍追击2：机密圈套(港)  /  神鬼认证：神鬼疑云(台),保罗·格林格拉斯 Paul Greengrass,2004,美国 德国,动作 悬疑 惊悚,8.6,223409
疯狂的石头, / Crazy Stone,宁浩 Hao Ning,2006,中国大陆 中国香港,喜剧 犯罪,8.4,464026
谍影重重, / 叛谍追击(港)  /  神鬼认证(台),道格·里曼 Doug Liman,2002,美国 德国 捷克,动作 悬疑 惊悚,8.6,266299
朗读者, / 为爱朗读(台)  /  读爱(港),史蒂芬·戴德利 Stephen Daldry,2008,美国 德国,剧情 爱情,8.5,337545
浪潮, / 恶魔教室(台)  /  白恤暴潮(港),丹尼斯·甘塞尔 Dennis Gansel,2008,德国,剧情 惊悚,8.7,176485
战争之王, / 军火之王(台 / 港) ,安德鲁·尼科尔 Andrew Niccol,2005,美国 法国,剧情 犯罪,8.6,229475
初恋这件小事, / 初恋那件小事(港)  /  暗恋那点小事,普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,2010,泰国,剧情 喜剧 爱情,8.4,648740
奇迹男孩, / 奇迹,斯蒂芬·卓博斯基 Stephen Chbosky,2017,美国 中国香港,剧情 儿童 家庭,8.6,333959
地球上的星星, / 心中的小星星(台)  /  每一个孩子都是特别的,阿米尔·汗 Aamir Khan,2007,印度,剧情 儿童 家庭,8.9,123985
青蛇, / Green Snake,徐克 Hark Tsui,1993,中国香港,剧情 爱情 奇幻 古装,8.5,310693
终结者2：审判日, / 终结者2  /  终结者2：末日审判,詹姆斯·卡梅隆 James Cameron,1991,美国 法国,动作 科幻,8.7,203650
爱在午夜降临前, / 爱在午夜希腊时(台)  /  情约半生(港),理查德·林克莱特 Richard Linklater,2013,美国 希腊,剧情 爱情,8.8,171959
釜山行, / 尸速列车(台)  /  尸杀列车(港),延尚昊 Sang-ho Yeon,2016,韩国,动作 惊悚 灾难,8.4,587487
新龙门客栈, / New Dragon Gate Inn,李惠民 Raymond Lee,1992,中国香港 中国大陆,动作 爱情 武侠 古装,8.6,264841
源代码, / 启动原始码(台)  /  危机解密(港),邓肯·琼斯 Duncan Jones,2011,美国 加拿大,科幻 悬疑 惊悚,8.4,528757
步履不停, / 横山家之味(港 / 台) ,是枝裕和 Hirokazu Koreeda,2008,日本,剧情 家庭,8.8,144410
无耻混蛋, / 恶棍特工(台)  /  希魔撞正杀人狂(港),Quentin Tarantino,2009,德国 美国,剧情 犯罪,8.5,301015
小萝莉的猴神大叔, / 娃娃返乡任务(台)  /  宝莱坞之钢铁奶爸(台),卡比尔·汗 Kabir Khan,2015,印度,剧情 喜剧 动作,8.5,281586
新世界, / 暗黑新世界(台)  /  New World,朴勋政 Hoon-jung Park,2013,韩国,剧情 犯罪,8.7,158816
再次出发之纽约遇见你, / 再次出发  /  歌曲改变人生,约翰·卡尼 John Carney,2013,美国,喜剧 爱情 音乐,8.5,251588
追随, / 跟踪(台)  /  致命追踪,克里斯托弗·诺兰 Christopher Nolan,1998,英国,犯罪 悬疑 惊悚,8.9,110676
一次别离, / 分居风暴(台)  /  伊朗式分居(港),阿斯哈·法哈蒂  Asghar Farhadi,2011,伊朗 法国,剧情 家庭,8.7,171257
绿里奇迹, / 绿色奇迹(台)  /  绿色英里,Frank Darabont,1999,美国,犯罪 剧情 奇幻 悬疑,8.7,151514
2001太空漫游, / 2001：星际漫游  /  2001：太空奥德赛,斯坦利·库布里克 Stanley Kubrick,1968,英国 美国,科幻 惊悚 冒险,8.7,154097
血钻, / 血腥钻石  /  滴血钻石,爱德华·兹威克 Edward Zwick,2006,美国 德国,剧情 惊悚 冒险,8.6,202217
彗星来的那一夜, / 相干性  /  相干效应,詹姆斯·沃德·布柯特 James Ward Byrkit,2013,美国 英国,科幻 悬疑 惊悚,8.5,285069
城市之光, / City Lights: A Comedy Romance in Pantomime  /  Lichter der Großstadt,Charles Chaplin,1931,美国,喜剧 剧情 爱情,9.3,66998
东京物语, / 东京故事  /  Tokyo Story,小津安二郎 Yasujirô Ozu,1953,日本,剧情 家庭,9.2,74690
疯狂的麦克斯4：狂暴之路, / 末日先锋：战甲飞车(港)  /  疯狂麦斯：愤怒道(台),乔治·米勒 George Miller,2015,澳大利亚 美国,动作 科幻 冒险,8.6,305294
撞车, / 冲击效应  /  冲撞,保罗·哈吉斯 Paul Haggis,2004,美国 德国,犯罪 剧情,8.6,222573
梦之安魂曲, / 噩梦挽歌(台)  /  迷上瘾(港),达伦·阿伦诺夫斯基 Darren Aronofsky,2000,美国,剧情,8.7,147164
聚焦, / 焦点追击(港)  /  惊爆焦点(台),托马斯·麦卡锡 Thomas McCarthy,2015,美国,剧情 传记,8.8,176214
哈利·波特与阿兹卡班的囚徒, / 哈利波特3：阿兹卡班的逃犯(港 / 台) ,Alfonso Cuarón,2004,英国 美国,剧情 奇幻 冒险,8.5,273116
E.T. 外星人, / 外星人E.T.  /  外星人,史蒂文·斯皮尔伯格 Steven Spielberg,1982,美国,剧情 科幻,8.6,215768
遗愿清单, / 玩转身前事(港)  /  一路玩到挂(台),罗伯·莱纳 Rob Reiner,2007,美国,冒险 喜剧 剧情,8.6,197846
黑鹰坠落, / 黑鹰降落  /  黑鹰计划,雷德利·斯科特 Ridley Scott,2001,美国,动作 历史 战争,8.6,173870
哈利·波特与密室, / 哈利波特2：消失的密室(港 / 台) ,Chris Columbus,2002,美国 英国 德国,奇幻 冒险,8.4,292334
这个男人来自地球, / 地球不死人(港)  /  这个人来自洞穴,理查德·沙因克曼 Richard Schenkman,2007,美国,剧情 科幻,8.5,249106
末路狂花, / 塞尔玛与路易丝  /  末路狂花,雷德利·斯科特 Ridley Scott,1991,美国 法国,犯罪 剧情 惊悚,8.7,140664
发条橙, / 发条桔子  /  发条橙子,Stanley Kubrick,1971,英国 美国,犯罪 剧情 科幻,8.5,241982
变脸, / 夺面双雄  /  夺命双雄,吴宇森 John Woo,1997,美国,动作 科幻 犯罪 惊悚,8.4,277357
驴得水, / Mr. Donkey,周申 Shen Zhou / 刘露 Lu Liu,2016,中国大陆,剧情 喜剧,8.3,518814
我爱你, / 爱你  /  爱，是一生相伴(台),秋昌民 Chang-min Choo,2011,韩国,剧情 爱情,9.0,86976
国王的演讲, / 皇上无话儿(港)  /  王者之声：宣战时刻(台),汤姆·霍珀 Tom Hooper,2010,英国 澳大利亚 美国,剧情 传记 历史,8.4,443061
千钧一发, / 变种异煞  /  自然人,安德鲁·尼科尔 Andrew Niccol,1997,美国,剧情 科幻 惊悚,8.7,135329
勇闯夺命岛, / 石破天惊  /  绝地任务,迈克尔·贝 Michael Bay,1996,美国,动作 冒险,8.6,185528
黄金三镖客, / 好·坏·丑  /  独行侠决斗地狱门(港),Sergio Leone,1966,意大利 西班牙 西德,冒险 西部,9.1,72796
非常嫌疑犯, / 刺激惊爆点(台)  /  普通嫌疑犯,布莱恩·辛格 Bryan Singer,1995,德国 美国,剧情 犯罪 悬疑 惊悚,8.6,166944
秒速5厘米, / 秒速五厘米  /  秒速5公分,新海诚 Makoto Shinkai,2007,日本,动画 剧情 爱情,8.3,422476
